date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:30	193491/193491	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:28%20GMT	https://mdbootstrap.com/docs/jquery/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/index.html	(from https://mdbootstrap.com/)
17:00:31	191715/191715	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:29%20GMT	https://mdbootstrap.com/education/bootstrap/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/education/bootstrap/index.html	(from https://mdbootstrap.com/)
17:00:33	193097/193097	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:30%20GMT	https://mdbootstrap.com/education/bootstrap/gulp-installation/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/education/bootstrap/gulp-installation/index.html	(from https://mdbootstrap.com/)
17:00:33	197397/197397	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:31%20GMT	https://mdbootstrap.com/articles/jquery/md-bootstrap-webpack-tutorial/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/articles/jquery/md-bootstrap-webpack-tutorial/index.html	(from https://mdbootstrap.com/)
17:00:35	152988/152988	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:32%20GMT	https://mdbootstrap.com/docs/react/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/react/index.html	(from https://mdbootstrap.com/)
17:00:38	165901/165901	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:34%20GMT	https://mdbootstrap.com/publications/front-end/bootstrap-news/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/publications/front-end/bootstrap-news/index.html	(from https://mdbootstrap.com/)
17:00:38	190178/190178	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:37%20GMT	https://mdbootstrap.com/docs/jquery/layout/overview/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/layout/overview/index.html	(from https://mdbootstrap.com/)
17:00:38	6921/6921	---M--	200	added ('OK')	image/png	etag:%225bc48268-1b09%22	https://mdbootstrap.com/img/Marketing/general/jquery-presentation-wide.png	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/Marketing/general/jquery-presentation-wide.png	(from https://mdbootstrap.com/)
17:00:42	177490/177490	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:39%20GMT	https://mdbootstrap.com/docs/jquery/layout/utilities/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/layout/utilities/index.html	(from https://mdbootstrap.com/)
17:00:42	192473/192473	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:40%20GMT	https://mdbootstrap.com/docs/jquery/layout/bootstrap-masonry/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/layout/bootstrap-masonry/index.html	(from https://mdbootstrap.com/)
17:00:43	184443/184443	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:41%20GMT	https://mdbootstrap.com/docs/jquery/utilities/borders/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/utilities/borders/index.html	(from https://mdbootstrap.com/)
17:00:45	189501/189501	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:42%20GMT	https://mdbootstrap.com/docs/jquery/utilities/display/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/utilities/display/index.html	(from https://mdbootstrap.com/)
17:00:45	199590/199590	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:43%20GMT	https://mdbootstrap.com/docs/jquery/utilities/embeds/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/utilities/embeds/index.html	(from https://mdbootstrap.com/)
17:00:45	237068/237068	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:44%20GMT	https://mdbootstrap.com/docs/jquery/utilities/flexbox/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/utilities/flexbox/index.html	(from https://mdbootstrap.com/)
17:00:45	8381/8381	---M--	200	added ('OK')	image/png	etag:%225bc48268-20bd%22	https://mdbootstrap.com/img/Marketing/general/react-presentation-wide.png	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/Marketing/general/react-presentation-wide.png	(from https://mdbootstrap.com/)
17:00:45	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2019%20Jun%202019%2014:00:45%20GMT	https://mdbootstrap.com/docs/react	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/react	(from https://mdbootstrap.com/)
17:00:45	6501/6501	---M--	200	added ('OK')	image/png	etag:%225bc48268-1965%22	https://mdbootstrap.com/img/Marketing/general/vue-presentation-wide.png	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/Marketing/general/vue-presentation-wide.png	(from https://mdbootstrap.com/)
17:00:46	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2019%20Jun%202019%2014:00:46%20GMT	https://mdbootstrap.com/docs/vue	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/vue	(from https://mdbootstrap.com/)
17:00:48	176212/176212	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:46%20GMT	https://mdbootstrap.com/docs/jquery/utilities/image-replacement/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/utilities/image-replacement/index.html	(from https://mdbootstrap.com/)
17:00:48	182087/182087	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:47%20GMT	https://mdbootstrap.com/docs/jquery/utilities/position/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/utilities/position/index.html	(from https://mdbootstrap.com/)
17:00:48	176951/176951	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:47%20GMT	https://mdbootstrap.com/docs/jquery/utilities/overflow/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/utilities/overflow/index.html	(from https://mdbootstrap.com/)
17:00:48	3013/3013	---M--	200	added ('OK')	image/png	etag:%2259f85a4f-bc5%22	https://mdbootstrap.com/img/logo/brands/amazon.png	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/logo/brands/amazon.png	(from https://mdbootstrap.com/)
17:00:49	1387/1387	---M--	200	added ('OK')	image/png	etag:%2259f85a4f-56b%22	https://mdbootstrap.com/img/logo/brands/sony.png	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/logo/brands/sony.png	(from https://mdbootstrap.com/)
17:00:49	175119/175119	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:48%20GMT	https://mdbootstrap.com/docs/jquery/utilities/screenreaders/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/utilities/screenreaders/index.html	(from https://mdbootstrap.com/)
17:00:49	1666/1666	---M--	200	added ('OK')	image/png	etag:%2259f85a4f-682%22	https://mdbootstrap.com/img/logo/brands/samsung.png	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/logo/brands/samsung.png	(from https://mdbootstrap.com/)
17:00:49	1292/1292	---M--	200	added ('OK')	image/png	etag:%2259f85a4f-50c%22	https://mdbootstrap.com/img/logo/brands/airbus.png	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/logo/brands/airbus.png	(from https://mdbootstrap.com/)
17:00:49	1667/1667	---M--	200	added ('OK')	image/png	etag:%2259f85a4f-683%22	https://mdbootstrap.com/img/logo/brands/yahoo.png	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/logo/brands/yahoo.png	(from https://mdbootstrap.com/)
17:00:49	182397/182397	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:49%20GMT	https://mdbootstrap.com/docs/jquery/utilities/sizing/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/utilities/sizing/index.html	(from https://mdbootstrap.com/)
17:00:50	1576/1576	---M--	200	added ('OK')	image/png	etag:%2259f85a4f-628%22	https://mdbootstrap.com/img/logo/brands/deloitte.png	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/logo/brands/deloitte.png	(from https://mdbootstrap.com/)
17:00:50	2232/2232	---M--	200	added ('OK')	image/png	etag:%2259f85a4f-8b8%22	https://mdbootstrap.com/img/logo/brands/ge.png	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/logo/brands/ge.png	(from https://mdbootstrap.com/)
17:00:50	2119/2119	---M--	200	added ('OK')	image/png	etag:%2259f85a4f-847%22	https://mdbootstrap.com/img/logo/brands/kpmg.png	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/logo/brands/kpmg.png	(from https://mdbootstrap.com/)
17:00:50	1238/1238	---M--	200	added ('OK')	image/png	etag:%2259f85a4f-4d6%22	https://mdbootstrap.com/img/logo/brands/unity.png	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/logo/brands/unity.png	(from https://mdbootstrap.com/)
17:00:50	1767/1767	---M--	200	added ('OK')	image/png	etag:%2259f85a4f-6e7%22	https://mdbootstrap.com/img/logo/brands/ikea.png	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/logo/brands/ikea.png	(from https://mdbootstrap.com/)
17:00:50	190389/190389	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:50%20GMT	https://mdbootstrap.com/docs/jquery/utilities/stretched-link/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/utilities/stretched-link/index.html	(from https://mdbootstrap.com/)
17:00:51	1683/1683	---M--	200	added ('OK')	image/png	etag:%2259f85a4f-693%22	https://mdbootstrap.com/img/logo/brands/aegon.png	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/logo/brands/aegon.png	(from https://mdbootstrap.com/)
17:00:51	84672/84672	---M--	200	added ('OK')	image/jpeg	etag:%225cfe18b1-14ac0%22	https://mdbootstrap.com/img/Marketing/products/angular/superbundle.jpg	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/Marketing/products/angular/superbundle.jpg	(from https://mdbootstrap.com/)
17:00:52	187961/187961	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:51%20GMT	https://mdbootstrap.com/docs/jquery/utilities/spacing/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/utilities/spacing/index.html	(from https://mdbootstrap.com/)
17:00:52	194991/194991	---M--	200	added ('OK')	image/jpeg	etag:%225ce5443a-2f9af%22	https://mdbootstrap.com/wp-content/uploads/2019/05/ng_boilerplate_1.jpg	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/wp-content/uploads/2019/05/ng_boilerplate_1.jpg	(from https://mdbootstrap.com/)
17:00:52	81633/81633	---M--	200	added ('OK')	image/jpeg	etag:%225cfe18a7-13ee1%22	https://mdbootstrap.com/img/Marketing/products/vue/superbundle.jpg	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/Marketing/products/vue/superbundle.jpg	(from https://mdbootstrap.com/)
17:00:53	117470/117470	---M--	200	added ('OK')	image/jpeg	etag:%225cecc7c8-1cade%22	https://mdbootstrap.com/img/Marketing/general/resources/tutorials.jpg	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/Marketing/general/resources/tutorials.jpg	(from https://mdbootstrap.com/)
17:00:53	180689/180689	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:52%20GMT	https://mdbootstrap.com/docs/jquery/utilities/vertical-align/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/utilities/vertical-align/index.html	(from https://mdbootstrap.com/)
17:00:54	183514/183514	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:53%20GMT	https://mdbootstrap.com/docs/jquery/utilities/visibility/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/utilities/visibility/index.html	(from https://mdbootstrap.com/)
17:00:54	93964/93964	---M--	200	added ('OK')	image/jpeg	etag:%225cecc7c6-16f0c%22	https://mdbootstrap.com/img/Marketing/general/resources/freebies.jpg	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/Marketing/general/resources/freebies.jpg	(from https://mdbootstrap.com/)
17:00:55	191906/191906	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:00:54%20GMT	https://mdbootstrap.com/docs/jquery/utilities/text/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/utilities/text/index.html	(from https://mdbootstrap.com/)
